time,open,high,low,close,tick_volume,Dividends,Stock Splits,SMA_20,SMA_50,SMA_200,RSI,MACD,MACD_Signal,BB_Mid,BB_Std,BB_Upper,BB_Lower,ATR
2025-03-26 11:00:00+00:00,1.0796804428100586,1.0800302028656006,1.079214334487915,1.079563856124878,0.0,0.0,0.0,1.0795584499835968,1.0803445649147034,1.0863815891742705,51.22030345378319,-0.00032020572835778083,-0.00042739940022482525,1.0795584499835968,0.0006929413372142845,1.0809443326580255,1.0781725673091682,0.0008819869586399623
2025-03-26 12:00:00+00:00,1.0796804428100586,1.0796804428100586,1.078515887260437,1.0786322355270386,0.0,0.0,0.0,1.0794418513774873,1.0802158212661743,1.086348814368248,44.6846493806196,-0.00036707891203247023,-0.00041533530258635427,1.0794418513774873,0.0006379655223198498,1.080717782422127,1.0781659203328475,0.0009235569408961705
2025-03-26 13:00:00+00:00,1.0789813995361328,1.079214334487915,1.0771219730377195,1.07758629322052,0.0,0.0,0.0,1.079261267185211,1.0800920295715333,1.0863149285316467,38.90773984417948,-0.0004830566739837394,-0.0004288795768658313,1.079261267185211,0.0006257587300151183,1.0805127846452414,1.0780097497251808,0.0010480625288827236
2025-03-26 14:00:00+00:00,1.077702283859253,1.0797970294952393,1.077702283859253,1.0793308019638062,0.0,0.0,0.0,1.079220461845398,1.0800125193595886,1.086289765238762,52.94153077050489,-0.0004292544319000058,-0.00042895454787266623,1.079220461845398,0.0005905875017295653,1.0804016368488571,1.0780392868419388,0.0011477470397949377
2025-03-26 15:00:00+00:00,1.0794472694396973,1.0796804428100586,1.0771219730377195,1.078399658203125,0.0,0.0,0.0,1.0791505932807923,1.0799822402000427,1.0862575936317445,42.027544448072184,-0.0004564891640894686,-0.00043446147111602675,1.0791505932807923,0.0006013464884701583,1.0803532862577327,1.077947900303852,0.001214069979531456
2025-03-26 16:00:00+00:00,1.078515887260437,1.0794472694396973,1.0780508518218994,1.0789813995361328,0.0,0.0,0.0,1.079121470451355,1.0799589300155639,1.0862306833267212,45.20088659446721,-0.0004262180454897013,-0.00043281278599076165,1.079121470451355,0.0005943422700659469,1.0803101549914869,1.077932785911223,0.0012638568878174145
2025-03-26 17:00:00+00:00,1.079214334487915,1.079214334487915,1.0755001306533811,1.0759629011154177,0.0,0.0,0.0,1.078947252035141,1.0798822474479675,1.0861833840608597,36.69358053091377,-0.000638436068233661,-0.0004739374424393416,1.078947252035141,0.0009169453316632995,1.0807811426984677,1.0771133613718145,0.0014459490776062487
2025-03-26 18:00:00+00:00,1.0759629011154177,1.0764262676239014,1.0756157636642456,1.0757315158843994,0.0,0.0,0.0,1.0787731111049652,1.0798032689094543,1.0861413997411729,35.90003565380158,-0.0008158862062683792,-0.0005423271952051491,1.0787731111049652,0.0011616256931172148,1.0810963624911996,1.0764498597187309,0.0014539701598031657
2025-03-26 19:00:00+00:00,1.0758472681045532,1.0758472681045532,1.074806571006775,1.075384497642517,0.0,0.0,0.0,1.0785932660102844,1.0797313308715821,1.0860976803302764,34.07789544864593,-0.0009732986105621677,-0.0006285214782765529,1.0785932660102844,0.0013847010456947276,1.081362668101674,1.0758238639188948,0.0014701400484358038
2025-03-26 20:00:00+00:00,1.0755001306533811,1.0759629011154177,1.075384497642517,1.0755001306533811,0.0,0.0,0.0,1.078425019979477,1.0796243858337402,1.0860468888282775,34.073581221843966,-0.0010763114095206916,-0.0007180794645253806,1.078425019979477,0.0015450775368783568,1.0815151750532337,1.0753348649057202,0.001478195190429751
